13:24:04 | INFO    | 04_build_features | loaded PM2.5 (79216, 1) and meteorology (87672, 8)
13:25:06 | INFO    | 04_build_features | built 102 predictor columns (max backward dependency 168 h)
13:25:06 | INFO    | 04_build_features | split: train 2016-03-10 to 2022-07-08, val to 2023-11-15, test to 2025-03-24 (chronological, no shuffling)
13:25:06 | INFO    | 04_build_features | h=  1: boundary purge removed 52 rows (42732 -> 42680)
13:25:06 | INFO    | 04_build_features | h=  3: boundary purge removed 52 rows (42568 -> 42516)
13:25:06 | INFO    | 04_build_features | h=  6: boundary purge removed 52 rows (42317 -> 42265)
13:25:06 | INFO    | 04_build_features | h= 12: boundary purge removed 52 rows (41829 -> 41777)
13:25:06 | INFO    | 04_build_features | h= 24: boundary purge removed 52 rows (40877 -> 40825)
13:25:06 | INFO    | 04_build_features | scaler fitted on 55451 training rows over 102 predictors
13:25:07 | INFO    | 04_build_features | wrote F:\BUP\data\processed\features.parquet (79216 rows, 169 cols)
13:25:07 | INFO    | 04_build_features | wrote resolved boundaries back into config.yaml
00:50:22 | INFO    | 04_build_features | loaded PM2.5 (35064, 1) and meteorology (35064, 7)
00:50:22 | INFO    | 04_build_features | contiguity: 28 runs after 3h ffill, longest 7942 h
00:50:22 | INFO    | 04_build_features | h=  1:  30679 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 22, target-imputed 240)
00:50:22 | INFO    | 04_build_features | h=  3:  30635 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 66, target-imputed 240)
00:50:22 | INFO    | 04_build_features | h=  6:  30569 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 132, target-imputed 240)
00:50:22 | INFO    | 04_build_features | h= 12:  30438 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 264, target-imputed 239)
00:50:22 | INFO    | 04_build_features | h= 24:  30174 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 528, target-imputed 239)
00:50:22 | INFO    | 04_build_features | built 96 predictor columns (max backward dependency 168 h)
00:50:22 | INFO    | 04_build_features | split: train 2013-02-28 to 2015-12-18, val to 2016-07-24, test to 2017-02-28 (chronological, no shuffling)
00:50:22 | INFO    | 04_build_features | h=  1: boundary purge removed 332 rows (30679 -> 30347)
00:50:22 | INFO    | 04_build_features | h=  3: boundary purge removed 336 rows (30635 -> 30299)
00:50:22 | INFO    | 04_build_features | h=  6: boundary purge removed 342 rows (30569 -> 30227)
00:50:22 | INFO    | 04_build_features | h= 12: boundary purge removed 354 rows (30438 -> 30084)
00:50:22 | INFO    | 04_build_features | h= 24: boundary purge removed 378 rows (30174 -> 29796)
00:50:22 | INFO    | 04_build_features | scaler fitted on 24545 training rows over 96 predictors
00:50:22 | INFO    | 04_build_features | wrote F:\BUP\data\processed\beijing\features.parquet (35064 rows, 158 cols)
00:51:03 | INFO    | 04_build_features | loaded PM2.5 (35064, 1) and meteorology (35064, 7)
00:51:03 | INFO    | 04_build_features | contiguity: 28 runs after 3h ffill, longest 7942 h
00:51:03 | INFO    | 04_build_features | h=  1:  30679 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 22, target-imputed 240)
00:51:03 | INFO    | 04_build_features | h=  3:  30635 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 66, target-imputed 240)
00:51:03 | INFO    | 04_build_features | h=  6:  30569 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 132, target-imputed 240)
00:51:03 | INFO    | 04_build_features | h= 12:  30438 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 264, target-imputed 239)
00:51:03 | INFO    | 04_build_features | h= 24:  30174 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 528, target-imputed 239)
00:51:03 | INFO    | 04_build_features | built 96 predictor columns (max backward dependency 168 h)
00:51:03 | INFO    | 04_build_features | split: train 2013-02-28 to 2015-12-18, val to 2016-07-24, test to 2017-02-28 (chronological, no shuffling)
00:51:03 | INFO    | 04_build_features | h=  1: boundary purge removed 332 rows (30679 -> 30347)
00:51:03 | INFO    | 04_build_features | h=  3: boundary purge removed 336 rows (30635 -> 30299)
00:51:03 | INFO    | 04_build_features | h=  6: boundary purge removed 342 rows (30569 -> 30227)
00:51:03 | INFO    | 04_build_features | h= 12: boundary purge removed 354 rows (30438 -> 30084)
00:51:03 | INFO    | 04_build_features | h= 24: boundary purge removed 378 rows (30174 -> 29796)
00:51:03 | INFO    | 04_build_features | scaler fitted on 24545 training rows over 96 predictors
00:51:04 | INFO    | 04_build_features | wrote F:\BUP\data\processed\beijing\features.parquet (35064 rows, 158 cols)
00:51:04 | INFO    | 04_build_features | wrote resolved boundaries back into config_beijing.yaml
12:52:07 | INFO    | 04_build_features | loaded PM2.5 (79216, 1) and meteorology (87672, 8)
12:52:07 | INFO    | 04_build_features | contiguity: 296 runs after 3h ffill, longest 4283 h
12:52:07 | INFO    | 04_build_features | h=  1:  42732 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 89, target-imputed 1037)
12:52:07 | INFO    | 04_build_features | h=  3:  42568 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 265, target-imputed 1025)
12:52:07 | INFO    | 04_build_features | h=  6:  42317 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 528, target-imputed 1013)
12:52:07 | INFO    | 04_build_features | h= 12:  41829 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 1042, target-imputed 987)
12:52:07 | INFO    | 04_build_features | h= 24:  40877 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 2030, target-imputed 951)
12:52:07 | INFO    | 04_build_features | built 102 predictor columns (max backward dependency 168 h)
12:52:07 | INFO    | 04_build_features | split: train 2016-03-10 to 2022-07-08, val to 2023-11-15, test to 2025-03-24 (chronological, no shuffling)
12:52:07 | INFO    | 04_build_features | h=  1: boundary purge removed 52 rows (42732 -> 42680)
12:52:07 | INFO    | 04_build_features | h=  3: boundary purge removed 52 rows (42568 -> 42516)
12:52:07 | INFO    | 04_build_features | h=  6: boundary purge removed 52 rows (42317 -> 42265)
12:52:07 | INFO    | 04_build_features | h= 12: boundary purge removed 52 rows (41829 -> 41777)
12:52:07 | INFO    | 04_build_features | h= 24: boundary purge removed 52 rows (40877 -> 40825)
12:52:07 | INFO    | 04_build_features | scaler fitted on 55451 training rows over 102 predictors
12:52:08 | INFO    | 04_build_features | wrote F:\BUP\data\processed\features.parquet (79216 rows, 169 cols)
13:15:11 | INFO    | 04_build_features | loaded PM2.5 (35064, 1) and meteorology (35064, 7)
13:15:11 | INFO    | 04_build_features | contiguity: 44 runs after 3h ffill, longest 4141 h
13:15:11 | INFO    | 04_build_features | h=  1:  28376 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 32, target-imputed 279)
13:15:11 | INFO    | 04_build_features | h=  3:  28314 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 96, target-imputed 277)
13:15:11 | INFO    | 04_build_features | h=  6:  28220 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 192, target-imputed 275)
13:15:11 | INFO    | 04_build_features | h= 12:  28029 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 384, target-imputed 274)
13:15:11 | INFO    | 04_build_features | h= 24:  27655 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 766, target-imputed 266)
13:15:11 | INFO    | 04_build_features | built 96 predictor columns (max backward dependency 168 h)
13:15:11 | INFO    | 04_build_features | split: train 2013-02-28 to 2015-12-18, val to 2016-07-24, test to 2017-02-28 (chronological, no shuffling)
13:15:11 | INFO    | 04_build_features | h=  1: boundary purge removed 158 rows (28376 -> 28218)
13:15:11 | INFO    | 04_build_features | h=  3: boundary purge removed 158 rows (28314 -> 28156)
13:15:11 | INFO    | 04_build_features | h=  6: boundary purge removed 158 rows (28220 -> 28062)
13:15:11 | INFO    | 04_build_features | h= 12: boundary purge removed 158 rows (28029 -> 27871)
13:15:11 | INFO    | 04_build_features | h= 24: boundary purge removed 160 rows (27655 -> 27495)
13:15:11 | INFO    | 04_build_features | scaler fitted on 24545 training rows over 96 predictors
13:15:11 | INFO    | 04_build_features | wrote F:\BUP\data\processed\donors\dingling\features.parquet (35064 rows, 158 cols)
13:15:11 | INFO    | 04_build_features | wrote resolved boundaries back into config/donors/dingling.yaml
13:26:30 | INFO    | 04_build_features | loaded PM2.5 (79216, 1) and meteorology (87672, 8)
13:26:30 | INFO    | 04_build_features | contiguity: 296 runs after 3h ffill, longest 4283 h
13:26:30 | INFO    | 04_build_features | h=  1:  42732 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 89, target-imputed 1037)
13:26:30 | INFO    | 04_build_features | h=  3:  42568 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 265, target-imputed 1025)
13:26:30 | INFO    | 04_build_features | h=  6:  42317 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 528, target-imputed 1013)
13:26:30 | INFO    | 04_build_features | h= 12:  41829 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 1042, target-imputed 987)
13:26:30 | INFO    | 04_build_features | h= 24:  40877 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 2030, target-imputed 951)
13:26:30 | INFO    | 04_build_features | built 102 predictor columns (max backward dependency 168 h)
13:26:30 | INFO    | 04_build_features | split: train 2016-03-10 to 2022-07-08, val to 2023-11-15, test to 2025-03-24 (chronological, no shuffling)
13:26:30 | INFO    | 04_build_features | h=  1: boundary purge removed 52 rows (42732 -> 42680)
13:26:30 | INFO    | 04_build_features | h=  3: boundary purge removed 52 rows (42568 -> 42516)
13:26:30 | INFO    | 04_build_features | h=  6: boundary purge removed 52 rows (42317 -> 42265)
13:26:30 | INFO    | 04_build_features | h= 12: boundary purge removed 52 rows (41829 -> 41777)
13:26:30 | INFO    | 04_build_features | h= 24: boundary purge removed 52 rows (40877 -> 40825)
13:26:31 | INFO    | 04_build_features | scaler fitted on 55451 training rows over 102 predictors
13:26:31 | INFO    | 04_build_features | wrote F:\BUP\data\processed\features.parquet (79216 rows, 169 cols)
13:26:31 | INFO    | 04_build_features | wrote resolved boundaries back into config.yaml
14:04:24 | INFO    | 04_build_features | loaded PM2.5 (79216, 1) and meteorology (87672, 8)
14:04:24 | INFO    | 04_build_features | contiguity: 296 runs after 3h ffill, longest 4283 h
14:04:25 | INFO    | 04_build_features | h=  1:  42732 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 89, target-imputed 1037)
14:04:25 | INFO    | 04_build_features | h=  3:  42568 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 265, target-imputed 1025)
14:04:25 | INFO    | 04_build_features | h=  6:  42317 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 528, target-imputed 1013)
14:04:25 | INFO    | 04_build_features | h= 12:  41829 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 1042, target-imputed 987)
14:04:25 | INFO    | 04_build_features | h= 24:  40877 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 2030, target-imputed 951)
14:04:25 | INFO    | 04_build_features | built 102 predictor columns (max backward dependency 168 h)
14:04:25 | INFO    | 04_build_features | split: train 2016-03-10 to 2022-07-08, val to 2023-11-15, test to 2025-03-24 (chronological, no shuffling)
14:04:25 | INFO    | 04_build_features | h=  1: boundary purge removed 52 rows (42732 -> 42680)
14:04:25 | INFO    | 04_build_features | h=  3: boundary purge removed 52 rows (42568 -> 42516)
14:04:25 | INFO    | 04_build_features | h=  6: boundary purge removed 52 rows (42317 -> 42265)
14:04:25 | INFO    | 04_build_features | h= 12: boundary purge removed 52 rows (41829 -> 41777)
14:04:25 | INFO    | 04_build_features | h= 24: boundary purge removed 52 rows (40877 -> 40825)
14:04:25 | INFO    | 04_build_features | scaler fitted on 55451 training rows over 102 predictors
14:04:25 | INFO    | 04_build_features | wrote F:\BUP\data\processed\features.parquet (79216 rows, 169 cols)
14:04:25 | INFO    | 04_build_features | wrote resolved boundaries back into config.yaml
15:04:24 | INFO    | 04_build_features | loaded PM2.5 (79216, 1) and meteorology (87672, 8)
15:04:24 | INFO    | 04_build_features | contiguity: 296 runs after 3h ffill, longest 4283 h
15:04:24 | INFO    | 04_build_features | h=  1:  42732 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 89, target-imputed 1037)
15:04:24 | INFO    | 04_build_features | h=  3:  42568 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 265, target-imputed 1025)
15:04:24 | INFO    | 04_build_features | h=  6:  42317 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 528, target-imputed 1013)
15:04:24 | INFO    | 04_build_features | h= 12:  41829 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 1042, target-imputed 987)
15:04:24 | INFO    | 04_build_features | h= 24:  40877 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 2030, target-imputed 951)
15:04:24 | INFO    | 04_build_features | built 102 predictor columns (max backward dependency 168 h)
15:04:24 | INFO    | 04_build_features | split: train 2016-03-10 to 2022-07-08, val to 2023-11-15, test to 2025-03-24 (chronological, no shuffling)
15:04:24 | INFO    | 04_build_features | h=  1: boundary purge removed 52 rows (42732 -> 42680)
15:04:24 | INFO    | 04_build_features | h=  3: boundary purge removed 52 rows (42568 -> 42516)
15:04:24 | INFO    | 04_build_features | h=  6: boundary purge removed 52 rows (42317 -> 42265)
15:04:24 | INFO    | 04_build_features | h= 12: boundary purge removed 52 rows (41829 -> 41777)
15:04:24 | INFO    | 04_build_features | h= 24: boundary purge removed 52 rows (40877 -> 40825)
15:04:24 | INFO    | 04_build_features | scaler fitted on 55451 training rows over 102 predictors
15:04:25 | INFO    | 04_build_features | wrote F:\BUP\data\processed\features.parquet (79216 rows, 169 cols)
15:04:25 | INFO    | 04_build_features | wrote resolved boundaries back into config.yaml
15:38:36 | INFO    | 04_build_features | loaded PM2.5 (79216, 1) and meteorology (87672, 8)
15:38:36 | INFO    | 04_build_features | contiguity: 296 runs after 3h ffill, longest 4283 h
15:38:36 | INFO    | 04_build_features | h=  1:  42732 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 89, target-imputed 1037)
15:38:36 | INFO    | 04_build_features | h=  3:  42568 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 265, target-imputed 1025)
15:38:36 | INFO    | 04_build_features | h=  6:  42317 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 528, target-imputed 1013)
15:38:36 | INFO    | 04_build_features | h= 12:  41829 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 1042, target-imputed 987)
15:38:36 | INFO    | 04_build_features | h= 24:  40877 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 2030, target-imputed 951)
15:38:36 | INFO    | 04_build_features | built 102 predictor columns (max backward dependency 168 h)
15:38:36 | INFO    | 04_build_features | split: train 2016-03-10 to 2022-07-08, val to 2023-11-15, test to 2025-03-24 (chronological, no shuffling)
15:38:36 | INFO    | 04_build_features | h=  1: boundary purge removed 52 rows (42732 -> 42680)
15:38:36 | INFO    | 04_build_features | h=  3: boundary purge removed 52 rows (42568 -> 42516)
15:38:36 | INFO    | 04_build_features | h=  6: boundary purge removed 52 rows (42317 -> 42265)
15:38:36 | INFO    | 04_build_features | h= 12: boundary purge removed 52 rows (41829 -> 41777)
15:38:36 | INFO    | 04_build_features | h= 24: boundary purge removed 52 rows (40877 -> 40825)
15:38:37 | INFO    | 04_build_features | scaler fitted on 55451 training rows over 102 predictors
15:38:37 | INFO    | 04_build_features | wrote F:\BUP\data\processed\features.parquet (79216 rows, 169 cols)
15:38:37 | INFO    | 04_build_features | wrote resolved boundaries back into config.yaml
17:26:52 | INFO    | 04_build_features | loaded PM2.5 (35064, 1) and meteorology (35064, 7)
17:26:52 | INFO    | 04_build_features | contiguity: 44 runs after 3h ffill, longest 4141 h
17:26:52 | INFO    | 04_build_features | h=  1:  28376 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 32, target-imputed 279)
17:26:52 | INFO    | 04_build_features | h=  3:  28314 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 96, target-imputed 277)
17:26:52 | INFO    | 04_build_features | h=  6:  28220 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 192, target-imputed 275)
17:26:52 | INFO    | 04_build_features | h= 12:  28029 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 384, target-imputed 274)
17:26:52 | INFO    | 04_build_features | h= 24:  27655 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 766, target-imputed 266)
17:26:52 | INFO    | 04_build_features | built 96 predictor columns (max backward dependency 168 h)
17:26:52 | INFO    | 04_build_features | split: train 2013-02-28 to 2015-12-18, val to 2016-07-24, test to 2017-02-28 (chronological, no shuffling)
17:26:52 | INFO    | 04_build_features | h=  1: boundary purge removed 158 rows (28376 -> 28218)
17:26:52 | INFO    | 04_build_features | h=  3: boundary purge removed 158 rows (28314 -> 28156)
17:26:52 | INFO    | 04_build_features | h=  6: boundary purge removed 158 rows (28220 -> 28062)
17:26:52 | INFO    | 04_build_features | h= 12: boundary purge removed 158 rows (28029 -> 27871)
17:26:52 | INFO    | 04_build_features | h= 24: boundary purge removed 160 rows (27655 -> 27495)
17:26:52 | INFO    | 04_build_features | scaler fitted on 24545 training rows over 96 predictors
17:26:52 | INFO    | 04_build_features | wrote F:\BUP\data\processed\donors\dingling\features.parquet (35064 rows, 158 cols)
17:26:52 | INFO    | 04_build_features | wrote resolved boundaries back into config/donors/dingling.yaml
17:26:57 | INFO    | 04_build_features | loaded PM2.5 (35064, 1) and meteorology (35064, 7)
17:26:57 | INFO    | 04_build_features | contiguity: 40 runs after 3h ffill, longest 3299 h
17:26:57 | INFO    | 04_build_features | h=  1:  28910 valid rows  (rejected: no-run 509, short-history 5314, target-past-run-end 26, target-imputed 305)
17:26:57 | INFO    | 04_build_features | h=  3:  28858 valid rows  (rejected: no-run 509, short-history 5314, target-past-run-end 78, target-imputed 305)
17:26:57 | INFO    | 04_build_features | h=  6:  28780 valid rows  (rejected: no-run 509, short-history 5314, target-past-run-end 156, target-imputed 305)
17:26:57 | INFO    | 04_build_features | h= 12:  28625 valid rows  (rejected: no-run 509, short-history 5314, target-past-run-end 312, target-imputed 304)
17:26:57 | INFO    | 04_build_features | h= 24:  28330 valid rows  (rejected: no-run 509, short-history 5314, target-past-run-end 614, target-imputed 297)
17:26:57 | INFO    | 04_build_features | built 96 predictor columns (max backward dependency 168 h)
17:26:57 | INFO    | 04_build_features | split: train 2013-02-28 to 2015-12-18, val to 2016-07-24, test to 2017-02-28 (chronological, no shuffling)
17:26:57 | INFO    | 04_build_features | h=  1: boundary purge removed 168 rows (28910 -> 28742)
17:26:57 | INFO    | 04_build_features | h=  3: boundary purge removed 170 rows (28858 -> 28688)
17:26:57 | INFO    | 04_build_features | h=  6: boundary purge removed 173 rows (28780 -> 28607)
17:26:57 | INFO    | 04_build_features | h= 12: boundary purge removed 179 rows (28625 -> 28446)
17:26:57 | INFO    | 04_build_features | h= 24: boundary purge removed 190 rows (28330 -> 28140)
17:26:57 | INFO    | 04_build_features | scaler fitted on 24545 training rows over 96 predictors
17:26:57 | INFO    | 04_build_features | wrote F:\BUP\data\processed\donors\dongsi\features.parquet (35064 rows, 158 cols)
17:26:57 | INFO    | 04_build_features | wrote resolved boundaries back into config/donors/dongsi.yaml
17:29:10 | INFO    | 04_build_features | loaded PM2.5 (79216, 1) and meteorology (87672, 8)
17:29:10 | INFO    | 04_build_features | contiguity: 296 runs after 3h ffill, longest 4283 h
17:29:10 | INFO    | 04_build_features | h=  1:  42732 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 89, target-imputed 1037)
17:29:10 | INFO    | 04_build_features | h=  3:  42568 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 265, target-imputed 1025)
17:29:10 | INFO    | 04_build_features | h=  6:  42317 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 528, target-imputed 1013)
17:29:11 | INFO    | 04_build_features | h= 12:  41829 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 1042, target-imputed 987)
17:29:11 | INFO    | 04_build_features | h= 24:  40877 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 2030, target-imputed 951)
17:29:11 | INFO    | 04_build_features | built 102 predictor columns (max backward dependency 168 h)
17:29:11 | INFO    | 04_build_features | split: train 2016-03-10 to 2022-07-08, val to 2023-11-15, test to 2025-03-24 (chronological, no shuffling)
17:29:11 | INFO    | 04_build_features | h=  1: boundary purge removed 52 rows (42732 -> 42680)
17:29:11 | INFO    | 04_build_features | h=  3: boundary purge removed 52 rows (42568 -> 42516)
17:29:11 | INFO    | 04_build_features | h=  6: boundary purge removed 52 rows (42317 -> 42265)
17:29:11 | INFO    | 04_build_features | h= 12: boundary purge removed 52 rows (41829 -> 41777)
17:29:11 | INFO    | 04_build_features | h= 24: boundary purge removed 52 rows (40877 -> 40825)
17:29:11 | INFO    | 04_build_features | scaler fitted on 55451 training rows over 102 predictors
17:29:11 | INFO    | 04_build_features | wrote F:\BUP\data\processed\features.parquet (79216 rows, 169 cols)
17:29:11 | INFO    | 04_build_features | wrote resolved boundaries back into config.yaml
18:01:02 | INFO    | 04_build_features | loaded PM2.5 (79216, 1) and meteorology (87672, 8)
18:01:02 | INFO    | 04_build_features | contiguity: 296 runs after 3h ffill, longest 4283 h
18:01:02 | INFO    | 04_build_features | h=  1:  42732 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 89, target-imputed 1037)
18:01:02 | INFO    | 04_build_features | h=  3:  42568 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 265, target-imputed 1025)
18:01:02 | INFO    | 04_build_features | h=  6:  42317 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 528, target-imputed 1013)
18:01:02 | INFO    | 04_build_features | h= 12:  41829 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 1042, target-imputed 987)
18:01:02 | INFO    | 04_build_features | h= 24:  40877 valid rows  (rejected: no-run 10766, short-history 24592, target-past-run-end 2030, target-imputed 951)
18:01:02 | INFO    | 04_build_features | built 102 predictor columns (max backward dependency 168 h)
18:01:02 | INFO    | 04_build_features | split: train 2016-03-10 to 2022-07-08, val to 2023-11-15, test to 2025-03-24 (chronological, no shuffling)
18:01:02 | INFO    | 04_build_features | h=  1: boundary purge removed 52 rows (42732 -> 42680)
18:01:02 | INFO    | 04_build_features | h=  3: boundary purge removed 52 rows (42568 -> 42516)
18:01:02 | INFO    | 04_build_features | h=  6: boundary purge removed 52 rows (42317 -> 42265)
18:01:02 | INFO    | 04_build_features | h= 12: boundary purge removed 52 rows (41829 -> 41777)
18:01:02 | INFO    | 04_build_features | h= 24: boundary purge removed 52 rows (40877 -> 40825)
18:01:02 | INFO    | 04_build_features | scaler fitted on 55451 training rows over 102 predictors
18:01:03 | INFO    | 04_build_features | wrote F:\BUP\data\processed\features.parquet (79216 rows, 169 cols)
18:01:03 | INFO    | 04_build_features | wrote resolved boundaries back into config.yaml
19:04:34 | INFO    | 04_build_features | loaded PM2.5 (35064, 1) and meteorology (35064, 7)
19:04:34 | INFO    | 04_build_features | contiguity: 44 runs after 3h ffill, longest 4141 h
19:04:34 | INFO    | 04_build_features | h=  1:  28376 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 32, target-imputed 279)
19:04:34 | INFO    | 04_build_features | h=  3:  28314 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 96, target-imputed 277)
19:04:34 | INFO    | 04_build_features | h=  6:  28220 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 192, target-imputed 275)
19:04:34 | INFO    | 04_build_features | h= 12:  28029 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 384, target-imputed 274)
19:04:34 | INFO    | 04_build_features | h= 24:  27655 valid rows  (rejected: no-run 424, short-history 5953, target-past-run-end 766, target-imputed 266)
19:04:34 | INFO    | 04_build_features | built 96 predictor columns (max backward dependency 168 h)
19:04:34 | INFO    | 04_build_features | split: train 2013-02-28 to 2015-12-18, val to 2016-07-24, test to 2017-02-28 (chronological, no shuffling)
19:04:34 | INFO    | 04_build_features | h=  1: boundary purge removed 158 rows (28376 -> 28218)
19:04:34 | INFO    | 04_build_features | h=  3: boundary purge removed 158 rows (28314 -> 28156)
19:04:34 | INFO    | 04_build_features | h=  6: boundary purge removed 158 rows (28220 -> 28062)
19:04:34 | INFO    | 04_build_features | h= 12: boundary purge removed 158 rows (28029 -> 27871)
19:04:34 | INFO    | 04_build_features | h= 24: boundary purge removed 160 rows (27655 -> 27495)
19:04:34 | INFO    | 04_build_features | scaler fitted on 24545 training rows over 96 predictors
19:04:34 | INFO    | 04_build_features | wrote F:\BUP\data\processed\donors\dingling\features.parquet (35064 rows, 158 cols)
19:04:34 | INFO    | 04_build_features | wrote resolved boundaries back into F:\BUP\config\donors\dingling.yaml
